Document Title,EC1,EC2,EC3,EC4,EC5
ICCMS '22: Proceedings of the 14th International Conference on Computer Modeling and Simulation,X,-,-,-,-
"CHASE '23: Proceedings of the 8th ACM/IEEE International Conference on Connected Health: Applications, Systems and Engineering Technologies",X,-,-,-,-
ACSAC '22: Proceedings of the 38th Annual Computer Security Applications Conference,X,-,-,-,-
NordiCHI '22: Nordic Human-Computer Interaction Conference,X,-,-,-,-
UbiComp/ISWC '23 Adjunct: Adjunct Proceedings of the 2023 ACM International Joint Conference on Pervasive and Ubiquitous Computing &amp; the 2023 ACM International Symposium on Wearable Computing,X,-,-,-,-
C&amp;T '23: Proceedings of the 11th International Conference on Communities and Technologies,X,-,-,-,-
ICoMS '23: Proceedings of the 2023 6th International Conference on Mathematics and Statistics,X,-,-,-,-
IHC '23: Proceedings of the XXII Brazilian Symposium on Human Factors in Computing Systems,X,-,-,-,-
ICEMT '22: Proceedings of the 6th International Conference on Education and Multimedia Technology,X,-,-,-,-
CSAI '22: Proceedings of the 2022 6th International Conference on Computer Science and Artificial Intelligence,X,-,-,-,-
ACM SIGCOMM '23: Proceedings of the ACM SIGCOMM 2023 Conference,X,-,-,-,-
SBSI '23: Proceedings of the XIX Brazilian Symposium on Information Systems,X,-,-,-,-
AutomotiveUI '22: Proceedings of the 14th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,X,-,-,-,-
"TEI '23: Proceedings of the Seventeenth International Conference on Tangible, Embedded, and Embodied Interaction",X,-,-,-,-
AutomotiveUI '23: Proceedings of the 15th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,X,-,-,-,-
